name,left1,left2,left3,left4,right1,right2,right3,right4
"Four on the Floor","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1Q,1Q,1Q,1Q","1Q,1Q,1Q,1Q","1Q,1Q,1Q,1Q","1Q,1Q,1Q,1Q"
"Four Minus One (2)","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1H,0,1Q,1Q","1H,0,1Q,1Q","1H,0,1Q,1Q","1H,0,1Q,1Q"
"Four Minus One (3)","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1Q,1H,0,1Q","1Q,1H,0,1Q","1Q,1H,0,1Q","1Q,1H,0,1Q"
"Four Minus One (4)","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1Q,1Q,1H,0","1Q,1Q,1H,0","1Q,1Q,1H,0","1Q,1Q,1H,0"
"Chord on Down Beats","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0"
"Chord Lead In Rhythm","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1dH,0,0,1Q","1dH,0,0,1Q","1dH,0,0,1Q","1dH,0,0,1Q"
"Single Sustained","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0","1W,0,0,0"
"One and Three","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0"
"Alternating","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","1H,0,1H,0","0,0,0,1Q","0,0,0,1Q","0,0,0,1Q","0,0,1Q,1Q"
"High Low Low High","0,1Q,1Q,0","0,1Q,1Q,0","0,1Q,1Q,0","0,1Q,1Q,0","1dH,0,0,1Q","1dH,0,0,1QQ","1dH,0,0,1Q","1dH,0,0,1Q"
"Funky","1Q,1dH,0,0","1Q,1dH,0,0","1Q,1dH,0,0","1Q,1dH,0,0","0,0,1Q,0","1Q,0,1Q,0","0,0,1Q,0","1Q,0,1Q,0"
"Variations","1Q,1Q,0,1Q","1Q,1Q,0,1Q","1Q,1Q,0,1Q","1Q,1Q,0,1Q","0,0,1H,0","1H,0,1H,0","0,0,1H,0","1H,0,1H,0"
"Reggae","1W,0,0,0","1W,0,0,0","1W,0,0,0","1H,0,1Q,1Q","0,1Q,0,1Q","0,1Q,0,1Q","0,1Q,0,1Q","0,1Q,0,1Q"
"Nice Alternating","1H,0,0,0","1H,0,0,0","1H,0,0,0","1H,0,0,0","0,1Q,0,1Q","0,1H,0,1Q","0,1Q,0,1Q","0,1H,0,1Q"
