Scale,ProgressionSet,Formula,Intervals,ScaleSteps,ChordSetName,1,2,3,4,5,6,7
Dorian,Minor,"2,1,2,2,2,1","1,2,b3,4,5,6,b7","0,2,3,5,7,9,10",Triads,m,m,maj,maj,m,dim,maj
Dorian,Minor,"2,1,2,2,2,1","1,2,b3,4,5,6,b7","0,2,3,5,7,9,10",Sevenths,m7,m7,maj7,7,m7,maj7b5,maj7
Harmonic Minor,Minor,"2,1,2,2,1,3","1,2,b3,4,5,b6,7","0,2,3,5,7,8,11",Triads,m,dim,aug,m,maj,maj,dim
Harmonic Minor,Minor,"2,1,2,2,1,3","1,2,b3,4,5,b6,7","0,2,3,5,7,8,11",Sevenths,mmaj7,maj,maj,m,7,maj7,dim7
Locrian,Minor,"1,2,2,1,2,2","1,b2,b3,4,b5,b6,b7","0,1,3,5,6,8,10",Triads,dim,maj,m,m,maj,maj,m
Locrian,Minor,"1,2,2,1,2,2","1,b2,b3,4,b5,b6,b7","0,1,3,5,6,8,10",Sevenths,maj7b5,maj7,m7,m7,maj7,7,m7
Lydian,Major,"2,2,2,1,2,2","1,2,3,#4,5,6,7","0,2,4,6,7,9,11",Triads,maj,maj,m,dim,maj,m,m
Lydian,Major,"2,2,2,1,2,2","1,2,3,#4,5,6,7","0,2,4,6,7,9,11",Sevenths,maj7,7,m7,maj7b5,maj7,m7,m7
Ionian,Major,"2,2,1,2,2,2","1,2,3,4,5,6,7","0,2,4,5,7,9,11",Triads,maj,m,m,maj,maj,m,dim
Ionian,Major,"2,2,1,2,2,2","1,2,3,4,5,6,7","0,2,4,5,7,9,11",Sevenths,maj7,m7,m7,maj7,7,m7,maj7b5
Melodic Minor,Minor,"2,1,2,2,2,2","1,2,b3,4,5,6,7","0,2,3,5,7,9,11",Triads,m,m,aug,maj,maj,dim,dim
Melodic Minor,Minor,"2,1,2,2,2,2","1,2,b3,4,5,6,7","0,2,3,5,7,9,11",Sevenths,mmaj7,m7,maj7#5,7,7,maj7b5,maj7b5
Aeolian,Minor,"2,1,2,2,1,2","1,2,b3,4,5,b6,b7","0,2,3,5,7,8,10",Triads,m,dim,maj,m,m,maj,maj
Aeolian,Minor,"2,1,2,2,1,2","1,2,b3,4,5,b6,b7","0,2,3,5,7,8,10",Sevenths,m,maj7b5,maj7,m7,m7,maj7,7
Mixolydian,Major,"2,2,1,2,2,1","1,2,3,4,5,6,b7","0,2,4,5,7,9,10",Triads,maj,m,dim,maj,m,m,maj
Mixolydian,Major,"2,2,1,2,2,1","1,2,3,4,5,6,b7","0,2,4,5,7,9,10",Sevenths,7,m7,maj7b5,maj7,m7,m7,maj7
Phrygian,Minor,"1,2,2,2,1,2","1,b2,b3,4,5,b6,b7","0,1,3,5,7,8,10",Triads,m,maj,maj,m,dim,maj,m
Phrygian,Minor,"1,2,2,2,1,2","1,b2,b3,4,5,b6,b7","0,1,3,5,7,8,10",Sevenths,m7,maj7,7,m7,maj7b5,maj7,m7
