Scale,ProgressionSet,ScaleSteps,ChordSetName,1,2,3,4,5,6,7
Blues,Minor,"0,3,5,6,7,10",Triads,min,maj,sus4,M7b5,m7#5,sus4,
Blues,Minor,"0,3,5,6,7,10",Sevenths,min7,min,7sus4,M7b5,m7#5,sus4,
Dorian,Minor,"0,2,3,5,7,9,10",Triads,min,min,maj,maj,min,dim,maj
Dorian,Minor,"0,2,3,5,7,9,10",Sevenths,min7,min7,maj7,7,min7,m7b5,maj7
Harmonic Minor,Minor,"0,2,3,5,7,8,11",Triads,min,dim,aug,min,maj,maj,dim
Harmonic Minor,Minor,"0,2,3,5,7,8,11",Sevenths,mM7,maj,maj,min,7,maj7,dim7
Locrian,Minor,"0,1,3,5,6,8,10",Triads,dim,maj,min,min,maj,maj,min
Locrian,Minor,"0,1,3,5,6,8,10",Sevenths,m7b5,maj7,min7,min7,maj7,7,min7
Lydian,Major,"0,2,4,6,7,9,11",Triads,maj,maj,min,dim,maj,min,min
Lydian,Major,"0,2,4,6,7,9,11",Sevenths,maj7,7,min7,m7b5,maj7,min7,min7
Lydian Augmented,Major,"0,2,4,6,8,9,11",Triads,aug,maj,maj,dim,dim,min,min
Lydian Augmented,Major,"0,2,4,6,8,9,11",Sevenths,maj7,7,7,m7b5,m7b5,mM7,min
Ionian (Major),Major,"0,2,4,5,7,9,11",Triads,maj,min,min,maj,maj,min,dim
Ionian (Major),Major,"0,2,4,5,7,9,11",Sevenths,maj7,min7,min7,maj7,7,min7,m7b5
Melodic Minor,Minor,"0,2,3,5,7,9,11",Triads,min,min,aug,maj,maj,dim,dim
Melodic Minor,Minor,"0,2,3,5,7,9,11",Sevenths,mM7,min7,m7#5,7,7,m7b5,m7b5
Aeolian (Minor),Minor,"0,2,3,5,7,8,10",Triads,min,dim,maj,min,min,maj,maj
Aeolian (Minor),Minor,"0,2,3,5,7,8,10",Sevenths,min,m7b5,maj7,min7,min7,maj7,7
Mixolydian,Major,"0,2,4,5,7,9,10",Triads,maj,min,dim,maj,min,min,maj
Mixolydian,Major,"0,2,4,5,7,9,10",Sevenths,7,min7,m7b5,maj7,min7,min7,maj7
Pentatonic Major,Major,"0,2,4,7,9",Triads,maj,sus4,m7#5,sus4,min,,
Pentatonic Major,Major,"0,2,4,7,9",Sevenths,sus2,7sus4,m7#5,sus2,min7,,
Pentatonic Minor,Minor,"0,3,5,7,10 ",Triads,min,maj,sus4,m7#5,sus4,,
Pentatonic Minor,Minor,"0,3,5,7,10 ",Sevenths,7sus4,sus2,7sus4,m7#5,sus2,,
Phrygian,Minor,"0,1,3,5,7,8,10",Triads,min,maj,maj,min,dim,maj,min
Phrygian,Minor,"0,1,3,5,7,8,10",Sevenths,min7,maj7,7,min7,m7b5,maj7,min7
Spanish,Major,"0,1,4,5,7,8,10",Triads,maj,maj,dim,min,dim,aug,min
Spanish,Major,"0,1,4,5,7,8,10",Sevenths,7,maj7,dim7,mM7,m7b5,M7#5,min7
